,feature,importance
68,fwd_seg_size_min,0.18328298340156948
55,fwd_byts_b_avg,0.1820290357212586
65,init_fwd_win_byts,0.11613229118910606
2,tot_fwd_pkts,0.10232731979992266
0,protocol,0.05029011407696602
61,subflow_fwd_pkts,0.04846055313217211
34,fwd_header_len,0.046119921208340735
66,init_bwd_win_byts,0.03744722076174125
44,syn_flag_cnt,0.020795170493397373
1,flow_duration,0.02053762903170485
20,fwd_iat_tot,0.018312171051011038
3,tot_bwd_pkts,0.01648327850064432
69,active_mean,0.014983550629863118
71,active_max,0.012594803913026508
41,pkt_len_std,0.010994857673190575
14,flow_byts_s,0.008088228119393947
10,bwd_pkt_len_max,0.007846694035187368
22,fwd_iat_std,0.007842376311511023
37,bwd_pkts_s,0.006888719182010117
35,bwd_header_len,0.006364841500551642
42,pkt_len_var,0.006355796304210997
52,pkt_size_avg,0.005652261892567746
47,ack_flag_cnt,0.0047508602249002226
11,bwd_pkt_len_min,0.004551700937957896
23,fwd_iat_max,0.003966931843431423
72,active_min,0.003860717897470493
19,flow_iat_min,0.0037047798831236415
17,flow_iat_std,0.0034177252511499046
43,fin_flag_cnt,0.003323211237702565
7,fwd_pkt_len_min,0.0033181329784939618
21,fwd_iat_mean,0.002881113620578581
16,flow_iat_mean,0.002599670811861168
46,psh_flag_cnt,0.0025253794277155174
67,fwd_act_data_pkts,0.0024218935289269656
4,tot_len_fwd_pkts,0.0023833529449420955
36,fwd_pkts_s,0.00227106019466744
13,bwd_pkt_len_std,0.0022284778613885924
38,pkt_len_min,0.0021853894164504868
62,subflow_fwd_byts,0.002032592741897179
25,bwd_iat_tot,0.0020092023320920703
70,active_std,0.001992245476186027
5,tot_len_bwd_pkts,0.0016428419644133586
63,subflow_bwd_pkts,0.0011614392337959607
28,bwd_iat_max,0.0010823168565370863
15,flow_pkts_s,0.0009707338284677399
26,bwd_iat_mean,0.0009516182698699948
40,pkt_len_mean,0.0009185452709640371
29,bwd_iat_min,0.0008796224535590072
9,fwd_pkt_len_std,0.000866207653946958
27,bwd_iat_std,0.000820403582611752
6,fwd_pkt_len_max,0.0008057789818728379
24,fwd_iat_min,0.0007455704782450746
51,down_up_ratio,0.0007017945813439115
12,bwd_pkt_len_mean,0.00045574680767068547
54,bwd_seg_size_avg,0.000447990655034557
18,flow_iat_max,0.0003948781225801506
64,subflow_bwd_byts,0.00039011938600207955
39,pkt_len_max,0.00016615840554847711
8,fwd_pkt_len_mean,0.00015280287701317379
73,idle_mean,9.52513682213996e-05
48,urg_flag_cnt,3.730115028356725e-05
75,idle_max,2.8878976430447958e-05
53,fwd_seg_size_avg,2.446524937461179e-05
76,idle_min,2.318194381832563e-06
31,bwd_psh_flags,1.4720383016671642e-06
74,idle_std,1.136323865965298e-06
30,fwd_psh_flags,3.5074937988665626e-07
33,bwd_urg_flags,0.0
60,bwd_blk_rate_avg,0.0
59,bwd_pkts_b_avg,0.0
58,bwd_byts_b_avg,0.0
56,fwd_pkts_b_avg,0.0
50,ece_flag_cnt,0.0
49,cwe_flag_count,0.0
45,rst_flag_cnt,0.0
32,fwd_urg_flags,0.0
57,fwd_blk_rate_avg,0.0
